sentence,words
Harry negó con la cabeza. Entendía muy bien lo que tenía que hacer; el problema era conseguirlo.,conseguirlo
La señora Dursley entró en el comedor con dos tazas de té. Aquello no iba bien. Tenía que decirle algo a su esposa. Se aclaró la garganta con nerviosismo.,tazas
"—¿Sabes? Me parece que las puntas de los bigotes de Scabbers están un poco más claras —dijo Harry, tratando de apartar la mente de Ron del tema de las casas—. Y, a propósito, ¿qué hacen ahora tus hermanos mayores?",claras
"Griphook les abrió la puerta. Harry, que había esperado más mármoles, se sorprendió. Estaban en un estrecho pasillo de piedra, iluminado con antorchas. Se inclinaba hacia abajo y había unos raíles en el suelo. Griphook silbó y un pequeño carro llegó rápidamente por los raíles. Subieron (Hagrid con cierta dificultad) y se pusieron en marcha.",mármoles
"Tenemos el placer de informarle de que dispone de una plaza en el Colegio Hogwarts de Magia. Por favor, observe la lista del equipo y los libros necesarios.",informarle
"—Un siglo —terminó Harry, metiéndose un trozo de pastel en la boca. Tenía muchísima hambre después de toda la excitación de la tarde—. Wood me lo dijo.",metiéndose
"Harry asintió, pero se detuvo rápidamente, porque eso hacía que le doliera más la cabeza. Luego dijo:",doliera
"Mil hierbas mágicas y hongos, Phyllida Spore.",Phyllida
"—¡Otro año se va! —dijo alegremente Dumbledore—. Y voy a fastidiaros con la charla de un viejo, antes de que podáis empezar con los deliciosos manjares. ¡Qué año hemos tenido! Esperamos que vuestras cabezas estén un poquito más llenas que cuando llegasteis... Ahora tenéis todo el verano para dejarlas bonitas y vacías antes de que comience el próximo año... Bien, tengo entendido que hay que entregar la copa de la casa y los puntos ganados son: en cuarto lugar, Gryffindor, con trescientos doce puntos; en tercer lugar, Hufflepuff, con trescientos cincuenta y dos; Ravenclaw tiene cuatrocientos veintiséis, y Slytherin, cuatrocientos setenta y dos.",fastidiaros
"El fantasma, con gorguera y medias, se había dado cuenta de pronto de la presencia de los de primer año.",gorguera
"—Buena suerte, Harry Potter —dijo Firenze—. Los planetas ya se han leído antes equivocadamente, hasta por centauros. Espero que ésta sea una de esas veces.",equivocadamente
"—¿Qué pretenden, teniendo una cosa así encerrada en el colegio? —dijo finalmente Ron—. Si algún perro necesita ejercicio, es ése.",pretenden
"Cuando Harry finalmente se levantó de la mesa, estaba cargado de cosas de las sorpresas navideñas, y que incluían globos luminosos que no estallaban, un juego de Haga Crecer Sus Propias Verrugas y piezas nuevas de ajedrez. Los ratones blancos habían desaparecido, y Harry tuvo el horrible presentimiento de que iban a terminar siendo la cena de Navidad de la Señora Norris.",navideñas
"La profesora McGonagall le lanzó una mirada dura, antes de hablar.",dura
"Harry abrió el paquete y encontró un jersey tejido a mano, grueso y color verde esmeralda, y una gran caja de pastel de chocolate casero.",casero
"Fue una suerte que Hagrid hubiera invitado a Harry a tomar el té, porque la clase de Pociones resultó ser la peor cosa que le había ocurrido allí, hasta entonces.",invitado
"Harry no sabía si se lo imaginaba o no, pero veía a Snape por todas partes. Por momentos, hasta se preguntaba si Snape no lo estaría siguiendo para atraparlo. Las clases de Pociones se convirtieron en torturas semanales para Harry, por la forma en que lo trataba Snape. ¿Era posible que Snape supiera que ellos habían averiguado lo de la Piedra Filosofal? Harry no se imaginaba cómo podía saberlo... aunque algunas veces tenía la horrible sensación de que Snape podía leer los pensamientos.",convirtieron
"De pronto, Harry se dio cuenta de que la cinta métrica, que en aquel momento le medía entre las fosas nasales, lo hacía sola. El señor Ollivander estaba revoloteando entre los estantes, sacando cajas.",revoloteando
"—¡Ah, la música! —dijo, enjugándose los ojos—. ¡Una magia más allá de todo lo que hacemos aquí! Y ahora, es hora de ir a la cama. ¡Salid al trote!",enjugándose
"Los dos muchachos lo miraron boquiabiertos y Harry sintió que se ruborizaba. Entonces, para su alivio, una voz llegó a través de la puerta abierta del compartimiento.",boquiabiertos
"Tuvo que llevarse las manos a la boca para no gritar. Giró en redondo. El corazón le latía más furiosamente que cuando el libro había gritado... Porque no sólo se había visto en el espejo, sino que había mucha gente detrás de él.",llevarse
"—Trae la correspondencia, Dudley —dijo tío Vernon, detrás de su periódico.",correspondencia
"Cuando entró en el camino del número 4, lo primero que vio (y eso no mejoró su humor) fue el gato atigrado que se había encontrado por la mañana. En aquel momento estaba sentado en la pared de su jardín. Estaba seguro de que era el mismo, pues tenía unas líneas idénticas alrededor de los ojos.",mejoró
"—Tranquila, Ginny. Es de mala educación señalar con el dedo.",Tranquila
—Que lo haga Dudley.,haga
"—Por eso llegáis tarde, ¿no? —dijo Hagrid, mirando con rostro ceñudo a Filch—. ¿Has estado dándoles sermones? Eso no es lo que tienes que hacer. A partir de ahora, me hago cargo yo.",llegáis
"HABÍAN pasado aproximadamente diez años desde el día en que los Dursley se despertaron y encontraron a su sobrino en la puerta de entrada, pero Privet Drive no había cambiado en absoluto. El sol se elevaba en los mismos jardincitos, iluminaba el número 4 de latón sobre la puerta de los Dursley y avanzaba en su salón, que era casi exactamente el mismo que aquél donde el señor Dursley había oído las ominosas noticias sobre las lechuzas, una noche de hacía diez años. Sólo las fotos de la repisa de la chimenea eran testimonio del tiempo que había pasado. Diez años antes, había una gran cantidad de retratos de lo que parecía una gran pelota rosada con gorros de diferentes colores, pero Dudley Dursley ya no era un niño pequeño, y en aquel momento las fotos mostraban a un chico grande y rubio montando su primera bicicleta, en un tiovivo en la feria, jugando con su padre en el ordenador, besado y abrazado por su madre... La habitación no ofrecía señales de que allí viviera otro niño.",jardincitos
"Mientras las lechuzas volaban por el Gran Comedor, como de costumbre, la atención de todos se fijó de inmediato en un paquete largo y delgado, que llevaban seis lechuzas blancas. Harry estaba tan interesado como los demás en ver qué contenía, y se sorprendió mucho cuando las lechuzas bajaron y dejaron el paquete frente a él, tirando al suelo su tocino. Se estaban alejando, cuando otra lechuza dejó caer una carta sobre el paquete.",alejando
"—Oh, eres tú, Ronan —dijo aliviado Hagrid—. ¿Cómo estás?",Ronan
Los labios de Snape se curvaron en un gesto burlón.,curvaron
"—¿No creeréis que me voy a quedar aquí, esperando a que Filch me atrape? Si nos encuentra a los tres, yo le diré la verdad, que estaba tratando de deteneros, y vosotros me apoyaréis.",atrape
"—Harry, todos dicen que Dumbledore es al único al que Quien-tú-sabes siempre ha temido. Con Dumbledore por aquí, Quien-tú-sabes no te tocará. De todos modos, ¿quién puede decir que los centauros tienen razón? A mí me parecen adivinos y la profesora McGonagall dice que ésa es una rama de la magia muy inexacta.",tocará
"Pero en las afueras ocurrió algo que apartó los taladros de su mente. Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraña. Individuos con capa. El señor Dursley no soportaba a la gente que llevaba ropa ridícula. ¡Ah, los conjuntos que llevaban los jóvenes! Supuso que debía de ser una moda nueva. Tamborileó con los dedos sobre el volante y su mirada se posó en unos extraños que estaban cerca de él. Cuchicheaban entre sí, muy excitados. El señor Dursley se enfureció al darse cuenta de que dos de los desconocidos no eran jóvenes. Vamos, uno era incluso mayor que él, ¡y vestía una capa verde esmeralda! ¡Qué valor! Pero entonces se le ocurrió que debía de ser alguna tontería publicitaria; era evidente que aquella gente hacía una colecta para algo. Sí, tenía que ser eso. El tráfico avanzó y, unos minutos más tarde, el señor Dursley llegó al aparcamiento de Grunnings, pensando nuevamente en los taladros.",embotellamiento
"—¿Y cómo se llamaba? Howard, ¿no?",Howard
—¿Qué quiere decir eso de que esperan mi lechuza?,esperan
Ron gruñó entre sueños. ¿Debía despertarlo? Algo lo detuvo. La capa de su padre... Sintió que aquella vez (la primera vez) quería utilizarla solo.,utilizarla
"—Cuando yo os llame, deberéis poneros el sombrero y sentaros en el taburete para que os seleccionen —dijo—. ¡Abbott, Hannah!",llame
"—Eh, mamá, ¿adivinas a quién acabamos de ver en el tren?",adivinas
"—Bueno, nadie lo sabrá realmente hasta que lleguemos allí, pero yo sé que seré de Slytherin, porque toda mi familia fue de allí. ¿Te imaginas estar en Hufflepuff? Yo creo que me iría, ¿no te parece?",imaginas
"El sendero estrecho se abría súbitamente al borde de un gran lago negro. En la punta de una alta montaña, al otro lado, con sus ventanas brillando bajo el cielo estrellado, había un impresionante castillo con muchas torres y torrecillas.",estrellado
"—Allí, en Stonewall, meten las cabezas de la gente en el inodoro el primer día —dijo a Harry—. ¿Quieres venir arriba y ensayar?",meten
—Nunca —dijo irritado Hagrid— tratéis de obtener una respuesta directa de un centauro. Son unos malditos astrólogos. No se interesan por nada más cercano que la luna.,tratéis
"—¿Qué hace este espejo? ¿Cómo funciona? ¡Ayúdame, Maestro!",Ayúdame
"Encontraron a Fang, el perro cazador de jabalíes, sentado afuera, con la cola vendada, cuando fueron a avisar a Hagrid. Éste les habló a través de la ventana.",Encontraron
"Demasiado deseoso de volver a volar antes de que llegara Wood, Harry montó en su escoba y dio una patada en el suelo. Qué sensación. Subió hasta los postes dorados y luego bajó con rapidez al terreno de juego. La Nimbus 2.000 iba donde él quería con sólo tocarla.",Subió
Sus tíos lo miraron asombrados.,asombrados
"—Fred, eres el siguiente —dijo la mujer regordeta.",Fred
"—Perdonen, ¿alguno de ustedes es el señor H. Potter? Tengo como cien de éstas en el mostrador de entrada.",Perdonen
"A las ocho y media, el señor Dursley cogió su maletín, besó a la señora Dursley en la mejilla y trató de despedirse de Dudley con un beso, aunque no pudo, ya que el niño tenía un berrinche y estaba arrojando los cereales contra las paredes. «Tunante», dijo entre dientes el señor Dursley mientras salía de la casa. Se metió en su coche y se alejó del número 4.",Tunante
"Hagrid cogió a Harry y Hermione y los arrastró fuera del sendero, detrás de un grueso roble. Sacó una flecha, la puso en su ballesta y la levantó, lista para disparar. Los tres escucharon. Alguien se deslizaba sobre las hojas secas. Parecía como una capa que se arrastrara por el suelo. Hagrid miraba hacia el sendero oscuro pero, después de unos pocos segundos, el sonido se alejó.",flecha
"—¿Eso hacen? Cómo, ¿no se mueven? —Ron estaba atónito—. ¡Qué raro!",mueven
"Harry llegó a la cabaña. Se apoyó contra la puerta de madera y miró hacia Hogwarts, cuyas ventanas despedían un brillo rojizo en la puesta del sol. Gryffindor a la cabeza. Él lo había hecho, le había demostrado a Snape...",despedían
"Con cuidado se detuvo en una rama, sujetando su escoba y tratando de ver a través de las hojas.",rama
"Compraron los libros de Harry en una tienda llamada Flourish y Blotts, en donde los estantes estaban llenos de libros hasta el techo. Había unos grandiosos forrados en piel, otros del tamaño de un sello, con tapas de seda, otros llenos de símbolos raros y unos pocos sin nada impreso en sus páginas. Hasta Dudley, que nunca leía nada, habría deseado tener alguno de aquellos libros. Hagrid casi tuvo que arrastrar a Harry para que dejara Hechizos y contrahechizos (encante a sus amigos y confunda a sus enemigos con las más recientes venganzas: Pérdida de Cabello, Piernas de Mantequilla, Lengua Atada y más, mucho más), del profesor Vindictus Viridian.",Compraron
"—Tu también estás mal de la cabeza —dijo Ron—. Yo soy Ron, ¿recuerdas?",recuerdas
—Un trol... en las mazmorras... Pensé que debía saberlo.,Pensé
"Harry saltó de su escoba, a centímetros del suelo. No podía creerlo. Lo había conseguido... El partido había terminado y apenas había durado cinco minutos. Mientras los de Gryffindor se acercaban al terreno de juego, vio que Snape aterrizaba cerca, con el rostro blanco y los labios tirantes. Entonces Harry sintió una mano en su hombro y, al darse la vuelta, se encontró con el rostro sonriente de Dumbledore.",aterrizaba
"—¿Ligero? —dijo Ron, pero Hermione le dijo que esperara, que tenía que buscar algo y comenzó a dar la vuelta a las páginas, enloquecida, murmurando para sí misma.",enloquecida
"—¿Listo? —preguntó Ron, con el rostro pálido pero decidido—. Allá voy, y no os quedéis una vez que hayáis ganado.",quedéis
"El cachorro golpeó la pared con su cola, haciendo temblar las ventanas. Harry y Hermione regresaron al castillo con la sensación de que el sábado no llegaría lo bastante rápido.",llegaría
"—Debe despertarse en el momento en que se deja de tocar —dijo Harry—. Bueno, empecemos...",deja
"Hedwig no le había llevado nada hasta aquel día. Algunas veces volaba para mordisquearle una oreja y conseguir una tostada, antes de volver a dormir en la lechucería, con las otras lechuzas del colegio. Sin embargo, aquella mañana pasó volando entre la mermelada y la azucarera y dejó caer un sobre en el plato de Harry Este lo abrió de inmediato.",mordisquearle
"—¡Pero no tenemos pruebas! —exclamó Harry—. Quirrell está demasiado atemorizado para respaldarnos. Snape sólo tiene que decir que no sabía cómo entró el trol en Halloween y que él no estaba cerca del tercer piso en ese momento. ¿A quién pensáis que van a creer, a él o a nosotros? No es exactamente un secreto que lo detestamos. Dumbledore creerá que nos lo hemos inventado para hacer que lo echen. Filch no nos ayudaría aunque su vida dependiera de ello, es demasiado amigo de Snape y, mientras más alumnos pueda echar, mejor para él. Y no olvidéis que se supone que no sabemos nada sobre la Piedra o Fluffy. Serían muchas explicaciones.",atemorizado
"—Crabbe —respondió—. A medianoche, ¿de acuerdo? Nos encontraremos en el salón de los trofeos, nunca se cierra con llave.",trofeos
"En aquel momento sonó el teléfono y tía Petunia fue a cogerlo, mientras Harry y tío Vernon miraban a Dudley, que estaba desembalando la bicicleta de carreras, la filmadora, el avión con control remoto, dieciséis juegos nuevos para el ordenador y un vídeo. Estaba rompiendo el envoltorio de un reloj de oro, cuando tía Petunia volvió, enfadada y preocupada ala vez.",cogerlo
"—Pero si estás sosteniendo la copa de quidditch, ¿qué tiene eso de interesante? Quiero ver a mis padres.",sosteniendo
"—Oh, sí, todos estaban de fiesta, de acuerdo —dijo con impaciencia—. Yo creía que serían un poquito más prudentes, pero no... ¡Hasta los muggles se han dado cuenta de que algo sucede! Salió en las noticias. —Terció la cabeza en dirección a la ventana del oscuro salón de los Dursley—. Lo he oído. Bandadas de lechuzas, estrellas fugaces... Bueno, no son totalmente estúpidos. Tenían que darse cuenta de algo. Estrellas fugaces cayendo en Kent... Seguro que fue Dedalus Diggle. Nunca tuvo mucho sentido común.",prudentes
"Al principio, los Gryffindors que pasaban por el gigantesco reloj de arena, que informaba de la puntuación de la casa, pensaron que había un error. ¿Cómo iban a tener; súbitamente, ciento cincuenta puntos menos que el día anterior? Y luego, se propagó la historia. Harry Potter; el famoso Harry Potter, el héroe de dos partidos de quidditch, les había hecho perder todos esos puntos, él y otros dos estúpidos de primer año.",informaba
"—No sé cómo los muggles se las arreglan sin magia —comentó, mientras subían por una escalera mecánica estropeada que los condujo a una calle llena de tiendas.",arreglan
"Tío Vernon golpeó el vidrio, pero la serpiente no se movió.",golpeó
"Era realmente como si tragara hielo. Dejó la botella y fue hacia delante. Se dio ánimo al ver que las llamas negras lamían su cuerpo pero no lo quemaban. Durante un momento no pudo ver más que fuego oscuro. Luego se encontró al otro lado, en la última habitación.",tragara
"—Sigue tocando —advirtió Ron a Harry, mientras salía de la capa y se arrastraba hasta la trampilla. Podía sentir la respiración caliente y olorosa del perro, mientras se aproximaba a las gigantescas cabezas.",olorosa
"—Vosotros estáis aquí para aprender la sutil ciencia y el arte exacto de hacer pociones —comenzó. Hablaba casi en un susurro, pero se le entendía todo. Como la profesora McGonagall, Snape tenía el don de mantener a la clase en silencio, sin ningún esfuerzo—. Aquí habrá muy poco de estúpidos movimientos de varita y muchos de vosotros dudaréis que esto sea magia. No espero que lleguéis a entender la belleza de un caldero hirviendo suavemente, con sus vapores relucientes, el delicado poder de los líquidos que se deslizan a través de las venas humanas, hechizando la mente, engañando los sentidos... Puedo enseñaros cómo embotellar la fama, preparar la gloria, hasta detener la muerte... si sois algo más que los alcornoques a los que habitualmente tengo que enseñar.",sutil
"1 caldero (peltre, medida 2).",peltre
"—Puede ser —dijo Hagrid, con rostro ceñudo, tratando de recordar—. Sí... Me preguntó qué hacía y le dije que era guardabosques aquí... Me preguntó de qué tipo de animales me ocupaba... se lo expliqué... y le conté que siempre había querido tener un dragón... y luego... no puedo recordarlo bien, porque me invitó a muchas copas. Déjame ver... ah sí, me dijo que tenía el huevo de dragón y que podía jugarlo a las cartas si yo quería... pero que tenía que estar seguro de que iba a poder con él, no quería dejarlo en cualquier lado... Así que le dije que, después de Fluffy, un dragón era algo fácil.",expliqué
"CUANDO empezó el mes de noviembre, el tiempo se volvió muy frío. Las montañas cercanas al colegio adquirieron un tono gris de hielo y el lago parecía de acero congelado. Cada mañana, el parque aparecía cubierto de escarcha. Por las ventanas de arriba veían a Hagrid descongelando las escobas en el campo de quidditch, enfundado en un enorme abrigo de piel de topo, guantes de pelo de conejo y enormes botas de piel de castor.",escarcha
Harry se sentía muy mal. En cualquier momento echaría a andar hacia el terreno de juego.,echaría
"En Hogwarts había 142 escaleras, algunas amplias y despejadas, otras estrechas y destartaladas. Algunas llevaban a un lugar diferente los viernes. Otras tenían un escalón que desaparecía a mitad de camino y había que recordarlo para saltar. Después, había puertas que no se abrían, a menos que uno lo pidiera con amabilidad o les hiciera cosquillas en el lugar exacto, y puertas que, en realidad, no eran sino sólidas paredes que fingían ser puertas. También era muy difícil recordar dónde estaba todo, ya que parecía que las cosas cambiaban de lugar continuamente. Las personas de los retratos seguían visitándose unos a otros, y Harry estaba seguro de que las armaduras podían andar.",despejadas
"—Y no es raro que no pudiéramos encontrar a Flamel en ese Estudio del reciente desarrollo de la hechicería —dijo Ron—. Él no es exactamente reciente si tiene seiscientos sesenta y cinco años, ¿verdad?",pudiéramos
Así que si buscas por debajo de nuestro suelo,buscas
"—Bueno, un segundo es el que se hace cargo, si te matan —dijo Ron sin darle importancia. Al ver la expresión de Harry, añadió rápidamente—: Pero la gente sólo muere en los duelos reales, ya sabes, con magos de verdad. Lo máximo que podéis hacer Malfoy y tú es mandaros chispas uno al otro. Ninguno sabe suficiente magia para hacer verdadero daño. De todos modos, seguro que él esperaba que te negaras.",matan
El encargado de los reptiles se encontraba totalmente conmocionado.,conmocionado
Estornudó. Volaron unas chispas.,Estornudó
"Unas llamas azules salieron de su varita y saltaron a la túnica de Snape. El profesor tardó unos treinta segundos en darse cuenta de que se incendiaba. Un súbito aullido le indicó a la chica que había hecho su trabajo. Atrajo el fuego, lo guardó en un frasco dentro de su bolsillo y se alejó gateando por la tribuna. Snape nunca sabría lo que le había sucedido.",incendiaba
"Harry bajó la vista rápidamente, mientras la profesora McGonagall ponía en silencio un taburete de cuatro patas frente a los de primer año. Encima del taburete puso un sombrero puntiagudo de mago. El sombrero estaba remendado, raído y muy sucio. Tía Petunia no lo habría admitido en su casa.",remendado
Me comeré a mí mismo si puedes encontrar,comeré
"—Vamos a necesitar mucha suerte para encontrar algo, después del alboroto que habéis hecho. Bueno, ahora voy a cambiar los grupos... Neville, tú te quedas conmigo y Hermione. Harry, tú vas con Fang y este idiota. Lo siento —añadió en un susurro dirigiéndose a Harry— pero a él le va a costar mucho asustarte y tenemos que terminar con esto.",costar
"Sin embargo, Harry Potter estaba todavía allí, durmiendo en aquel momento, aunque no por mucho tiempo. Su tía Petunia se había despertado y su voz chillona era el primer ruido del día.",despertado
"—Déjame explicarte. El hombre más feliz de la tierra puede utilizar el espejo de Oesed como un espejo normal, es decir, se mirará y se verá exactamente como es. ¿Eso te ayuda?",mirará
"Harry luchó con las sogas qué lo ataban, pero no se aflojaron. Tenía que evitar que Quirrell centrara toda su atención en el espejo.",ataban
"El gigante volvió a sentarse en el sofá, que se hundió bajo su peso, y comenzó a sacar toda clase de cosas de los bolsillos de su abrigo: una cazuela de cobre, un paquete de salchichas, un atizador, una tetera, varias tazas agrietadas y una botella de un liquido color ámbar, de la que tomó un trago antes de empezar a preparar el té. Muy pronto, la cabaña estaba llena del aroma de las salchichas calientes. Nadie dijo una palabra mientras el gigante trabajaba, pero cuando sacó las primeras seis salchichas jugosas y calientes, Dudley comenzó a impacientarse. Tío Vernon dijo en tono cortante:",peso
"—No diré nada si me lo pides por favor —dijo Peeves, con su molesta vocecita.",pides
El vidrio que se desvaneció,desvaneció
"Draco Malfoy no se ruborizó, pero un tono rosado apareció en sus pálidas mejillas.",pálidas
"Hermione se arremangó las mangas de su túnica, agitó la varita y dijo las palabras mágicas. La pluma se elevó del pupitre y llegó hasta más de un metro por encima de sus cabezas.",arremangó
"—Y en lo que se refiere a esa gata, la Señora Norris, me gustaría presentársela un día a Fang. ¿Sabéis que cada vez que voy al colegio me sigue todo el tiempo? No me puedo librar de ella. Filch la envía a hacerlo.",presentársela
"—¿Por qué? Vaya, Harry, todos querrían soluciones mágicas para sus problemas. No, mejor que nos dejen tranquilos.",querrían
"—Creo que es una especie de prueba. Fred dice que duele mucho, pero creo que era una broma.",duele
"—¡Dragones! —susurró—. ¡Hagrid estaba buscando cosas sobre dragones! Mirad estos dos: Especies de dragones en Gran Bretaña e Irlanda y Del huevo al infierno, guía para guardianes de dragones...",infierno
"Neville dejó escapar una débil sonrisa, mientras desenvolvía el chocolate.",desenvolvía
"Harry se quitó la capa y cogió la nota. La caligrafía, fina y llena de curvas, era desconocida para él. Decía:",caligrafía
Hagrid ayudó a Harry a subir al tren que lo llevaría hasta la casa de los Dursley y luego le entregó un sobre.,llevaría
"—Atrapó esa cosa con la mano, después de un vuelo de quince metros —explicó la profesora a Wood—. Ni un rasguño. Charlie Weasley no lo habría hecho mejor.",Atrapó
"La señora Pince, la bibliotecaria, empuñó un plumero ante su cara.",bibliotecaria
"Los árboles eran tan espesos que no podía ver adónde había ido Snape. Voló en círculos, cada vez más bajos, rozando las copas de los árboles, hasta que oyó voces. Se deslizó hacia allí y se detuvo sin ruido, sobre un haya.",bajos
"Goyle se inclinó para coger una rana de chocolate del lado de Ron. El pelirrojo saltó hacia él, pero antes de que pudiera tocar a Goyle, el muchacho dejó escapar un aullido terrible.",pelirrojo
"Había olvidado a la gente con capa hasta que pasó cerca de un grupo que estaba al lado de la panadería. Al pasar los miró enfadado. No sabía por qué, pero le ponían nervioso. Aquel grupo también susurraba con agitación y no llevaba ni una hucha. Cuando regresaba con un donut gigante en una bolsa de papel, alcanzó a oír unas pocas palabras de su conversación.",hucha
"Era Filch, hablando con la Señora Norris. Aterrorizado, Harry gesticuló salvajemente para que los demás lo siguieran lo más rápido posible. Se escurrieron silenciosamente hacia la puerta más alejada de la voz de Filch. Neville acababa de pasar, cuando oyeron que Filch entraba en el salón de los trofeos.",Aterrorizado
"—Si nos atrapan por vuestra culpa, no descansaré hasta aprender esa Maldición de los Demonios, de la que nos habló Quirrell, y la utilizaré contra vosotros.",descansaré
"Entraron tres muchachos, y Harry reconoció de inmediato al del medio: era el chico pálido de la tienda de túnicas de Madame Malkin. Miraba a Harry con mucho más interés que el que había demostrado en el callejón Diagon.",reconoció
"—Nunca en Hogwarts. Hemos tenido algunas mandíbulas rotas, pero nada peor hasta ahora. Bueno, el último miembro del equipo es el buscador. Ese eres tú. Y no tienes que preocuparte por la quaffle o las bludgers...",mandíbulas
—¡MENTIRA! —gritó de pronto Harry.,MENTIRA
"Harry no había estado antes en Londres. Aunque Hagrid parecía saber adónde iban, era evidente que no estaba acostumbrado a hacerlo de la forma ordinaria. Se quedó atascado en el torniquete de entrada al metro y se quejó en voz alta porque los asientos eran muy pequeños y los trenes muy lentos.",atascado
"Todos empezaron a reírse, salvo Hermione, que se puso de pie e hizo el contramaleficio. Las piernas de Neville se separaron y pudo ponerse de pie, temblando.",separaron
"—Bueno... en ese caso —dijo la profesora McGonagall, contemplando a los tres niños—... Hermione Granger; eres una tonta. ¿Cómo creías que ibas a derrotar a un trol gigante tú sola?",creías
"Al principio fueron rápidamente a través de un laberinto de retorcidos pasillos. Harry trató de recordar, izquierda, derecha, derecha, izquierda, una bifurcación, derecha, izquierda, pero era imposible. El veloz carro parecía conocer su camino, porque Griphook no lo dirigía.",laberinto
