sentence,words
"Pregunto qué pasa, y entonces la señora Berg, con su casco de permanente en la cabeza, me enseña en la revista que está leyendo una foto tuya y de esa Lydia Gloor en la calle, juntos, y el titular que dice que os habéis separado.",Pregunto
Y yo me ocuparía de que estuviese cómodo.,ocuparía
Después nos fijamos en una foto que data del otoño de 1974: Sylla cumple veinte años.,fijamos
"Y, una vez cada quince días, le zurraba con cierto placer: el de ser, como siempre, el Formidable.",zurraba
"Aquello no dejó de impresionar a mis compañeros ni de atraer la atención de mis profesores: gracias a esa experiencia, comprendí que para ser formidable bastaba con soslayar las relaciones con los demás; al final todo no era más que una cuestión de falsas apariencias.",soslayar
"Mi querido Harry, ¡no podría soportar que no lo terminaras!».",terminaras
"No escuché nada porque en esa caja, bajo las fotos, encontré una carta, sin fechar.",fechar
Me quedaré aquí hasta que vuelvas.,quedaré
"Stern pintaba, Pratt se dejaba hacer felaciones, pero ¿qué móvil tenían para matar a Nola?",felaciones
"Louisa Kellergan fue encontrada muerta, asfixiada.",asfixiada
Se descompensó.,descompensó
"Si la acusación se enteraba, Harry estaba acabado.",acusación
"Bueno, tomo esa resolución cada año y no la cumplo nunca.",cumplo
Ese libro cuenta la historia de un amor imposible entre dos personas que no pertenecen a la misma clase social.,social
"Está su parte racional, lúcida, consciente, que se debate contra otra parte dentro de usted que se niega a aceptar lo que, en su opinión, es inaceptable.",lúcida
"Centenares de curiosos se apelotonaban alrededor de la casa de los Kellergan, apenas contenidos por el cordón policial.",contenidos
"El abogado en cuestión montó todo un guirigay, apeló a la Corte Suprema y todo eso, ¡y resulta que el muy idiota va y gana!",guirigay
"Por el momento, pinchamos en hueso.",pinchamos
"Vivía en una imponente casa de piedra y pino macizo situada en las afueras, junto a la carretera federal 1 en dirección a Maine, y construida al borde de un pequeño cabo que figuraba en las cartas con el nombre de Goose Cove.",construida
"Al escuchar mi voz, me dijo con tono socarrón:",socarrón
"¡Una agenda perfecta! ¡Justo antes de las elecciones presidenciales y más o menos cuando comience el proceso de Quebert! ¡Fenomenal golpe de marketing, mi querido Goldman! ¡Hip hip, hurra!",Fenomenal
"Y ese es el error que cometió hace unos meses, cuando Barnaski le reclamó un nuevo manuscrito.",cometió
La verdad nos salvará a todos.,salvará
"Había ido acumulando borradores desordenadamente la última semana, pero siempre los numeraba según un código cronológico muy preciso para poder clasificarlos después.",desordenadamente
"Le gustan los motores de coche, la cerveza bien fría, y creo que no se molestaría al verme vestido de domingo.",motores
"—¡Santo Dios, Nola! ¡Qué susto me has dado!",susto
"«Tengo hambre», acabó diciendo Bobbo, que recibió una magistral colleja en la nuca.",magistral
No supe velar por mi hija.,velar
"Pasé por el Sea Side Motel, el bosque de Side Creek, Side Creek Lane, Goose Cove, atravesé Aurora y llegué a la playa de Grand Beach.",atravesé
Tú te ocupas de las cervezas y yo de los nachos con queso.,ocupas
"Sentada en el taburete de la barra, erguida como una escoba, Tamara Quinn me contó la razón de su ira y cómo Harry Quebert había deshonrado su apellido.",Sentada
—¿Y por qué todos los escritores se suicidan?,suicidan
"Luego se aventuró un poco más en el océano gris, dando vueltas sobre sí misma y ofreciéndose a la inmensidad.",aventuró
—Viene de Nueva York…,Viene
"—Cierra el pico, Doug.",Doug
"Al llegar a la altura del aparcamiento, Wanslow vio una camioneta de la guardia forestal que señalaba sin duda el lugar donde se había producido el accidente.",señalaba
Me dijo que era usted un alumno fuera de lo común y que hubiese podido ingresar en las universidades más importantes.,ingresar
Eztoy zegudo de que te guztadá mucho.,zegudo
"Solíamos charlar un momento después del entrenamiento, sentados uno al lado del otro en los bancos de madera del vestuario, mientras nos secábamos el sudor.",Solíamos
"Después, aprovechaba que estaba fuera de su habitación para entrar a dejarle una carta bajo su almohada.",almohada
"Este restaurante lo lleva mi hija y, se lo advierto, ¡aquí no se fía! Así que si no puede pagar, lárguese.",fía
"Y después, empieza a tocarla.",tocarla
Transcurrió un instante cuya duración no es posible determinar.,Transcurrió
"El cuartel general de la policía estatal de New Hampshire, sede de la brigada criminal, era un gran edificio de ladrillo rojo situado en el número 33 de Hazen Drive, en el centro de Concord.",Hazen
Busqué datos sobre ese Caleb y adivine lo que encontré.,Busqué
"Su hija se le parecía: dulce, amable, servicial, afectuosa.",servicial
Quiede decid que nunca eztadeiz zoloz.,eztadeiz
Antes de que coja una pulmonía o cualquier otra mierda que haga pensar a sus padres que me ocupo mal de usted.,coja
Le habrían eliminado para que no hablase.,eliminado
—Es el señor Stern el que fija las citas.,fija
¿Por qué la había hecho creer que se amarían para siempre?,amarían
TAMARA,TAMARA
Parece ser que tenía esa alegría de vivir sin igual que podía iluminar los peores días de lluvia.,peores
Aquí tienes unos caramelos para que te endulcen la vida.,endulcen
Nos dimos cuenta enseguida.,dimos
Todo el mundo hablaba del libro.,hablaba
¿Recuerdas?,Recuerdas
El caso no está claro y nos faltan elementos.,faltan
Comieron helado en la cocina.,Comieron
"Dos, noqueo…",noqueo
"—Y si llevaba un bolso, eso nos podría llevar a pensar que se había fugado, ¿no?",fugado
"Que manteníamos una relación el verano en que desapareció y que de aquello había sacado la inspiración para una novela de la que poseía, en aquella época, dos manuscritos: uno original, escrito a mano, y una versión mecanografiada.",manteníamos
"La escuchaba derrumbarse contra la puerta y volver a llamar, lloriqueando.",lloriqueando
Prométame al menos que lo pensará.,Prométame
"Si es usted tan listo, explíqueme por qué Harry encargó plantar flores donde había enterrado a Nola.",explíqueme
"El bozque ez inmenzo, nadie noz encontadá.",inmenzo
"Jenny, veinticuatro años, guapísima: reina de la belleza en el instituto, una rubia sensual que haría perder la cabeza a cualquiera.",guapísima
No vayas.,vayas
"Jenny, que jugueteaba con una botella de ketchup entre sus manos, la dejó caer torpemente al suelo: la botella se rompió y sus zapatillas blancas inmaculadas se cubrieron de salpicaduras rojas.",jugueteaba
"—Comprendimos que había pasado algo grave, pero no tuvimos tiempo de echar un vistazo porque sonó el famoso disparo.",Comprendimos
"El coche era un cupé de lujo, aparcado en el arcén, a cien metros de la casa.",cupé
—Que sobre todo no volvieses a casa antes de las siete.,volvieses
Dice que acabo de dar un golpe publicitario enorme para la revista y que nunca había visto algo parecido.,publicitario
"Se pasa usted la vida anotando todo lo que le cuento, pero después pierde sus notas y tengo que repetirle todo.",anotando
"En el avión que me traía desde Miami leí un artículo sobre un joven autor que acababa de publicar una novela aclamada por la crítica y, a mi llegada al aeropuerto de LaGuardia, no hice más que ver su rostro en los grandes carteles de la sala de recogida de equipajes.",LaGuardia
"Durante el mes que precedía al baile, podía verse a Amy Pratt recorriendo de arriba abajo la ciudad para vender a precio de oro los boletos para la tómbola, que nadie se atrevía a rechazar por temor a ser colocado en un mal sitio esa noche.",precedía
Le seguí a través de los pasillos hasta el ala donde se encontraban las celdas.,encontraban
—¿Cómo se supo que este fue el camino que recorrió?,recorrió
Fui hasta allí sin pensármelo dos veces.,pensármelo
"No vio, tras la ventana cubierta por el vaho, a Robert Quinn, que le observaba y que se juró a sí mismo, ese día, dejar de enviarle cartas.",vaho
"De pronto se levantó el viento: los árboles empezaron a balancearse con furia, como si el mismo mundo anunciase el final del gran Harry Quebert.",balancearse
"Y no tenemos nada para contraatacar, el mismo Harry reconoció durante su interrogatorio haber tenido una relación con Nola.",contraatacar
"Quiero decir: tres meses después de su llegada a Aurora, la pequeña Kellergan desaparecía.",desaparecía
"Nadie hablaba de otra cosa que del caso y, a mi entrada, los habituales que me conocían se arremolinaron en torno a mí para preguntarme si era verdad, si Harry había tenido una relación con Nola y si la había matado, a ella y a Deborah Cooper.",arremolinaron
"—¡Dígale que debo hablar con él sin falta, y que espero su llamada!",espero
Reconocía el texto.,Reconocía
"—Zi no, hubieze avizado a la policía…",hubieze
"Imparto Literatura desde hace veinticinco años, veinticinco largos años, y usted es la persona más brillante que he conocido.",Imparto
"Me había quemado las alas, me encontraba oficialmente en decadencia, era el más infeliz y el menos productivo de los escritores estrella de Nueva York.",decadencia
Se apoyó en un tronco y esperó.,tronco
"Después puso el coche en punto muerto y lo empujó: primero rodó suavemente por la pequeña pendiente cubierta de hierba, antes de caer por la pared rocosa y desaparecer en el vacío con un estruendo metálico.",rocosa
Te llamaré cada hora para informarte.,informarte
"—Por desgracia, aparte de agua, no tengo nada que ofrecerle…",ofrecerle
"El día que me acerqué al lago para documentar mi libro, unos niños habían atrapado una rana —quizás el último ser vivo en esa masa de agua— e intentaban desmembrarla tirando simultáneamente de sus dos patas traseras.",documentar
"De hecho, los jefazos están pensando en crear una unidad de casos sin resolver, y quieren que la dirija.",dirija
"Una serie de fotos nos mostró a la familia en Yosemite, en 1963.",Yosemite
"Que le pegaba con una regla de hierro, y que también le hacía esa cosa vergonzosa que hacen en Guantánamo, las simulaciones de ahogo: llenaba un barreño de agua, cogía a su hija por el pelo y hundía su cabeza en el agua.",vergonzosa
David Kellergan dejó de oficiar y se hizo venir a un pastor sustituto de Manchester para que asegurase el servicio en St.,sustituto
"—Roy, si me presento en Aurora, me van a linchar.",linchar
"Harry bajó la cabeza, muy avergonzado.",avergonzado
"—Después de varios días en coma, Luther despertó con la cara completamente destrozada —nos explicó Sylla—.",destrozada
"¡Vamos! Levante los puños, separe las piernas, prepárese para el combate.",Levante
—Un sitio fetén.,fetén
"Contemplé la inmensidad de Nueva York ante mí y los millones de puntos de luz hasta perderse de vista, y grité con todas mis fuerzas: «¡Soy Marcus Goldman!».",Contemplé
—¿Qué ha pasado exactamente?,exactamente
"[1] El término escritor fantasma, tomado del inglés ghost writer, designa a lo que en literatura se denomina negro, es decir, un escritor que escribe en nombre de otro.",inglés
"Volvió la cabeza y le vio; al principio, sus ojos se iluminaron, luego adoptó una expresión triste.",iluminaron
"Durante esta carrera antológica, Marcus Goldman, alias el Formidable, cuando dominaba fácilmente a sus adversarios y se prometía una aplastante victoria, fue víctima de la mala calidad de la pista: cayó en mala postura y se rompió una pierna.",antológica
"Nos lo planteamos y comprobamos qué vehículo poseía: un Mustang azul, lo recuerdo bien.",planteamos
—Peor que eso: empezó a desarrollar una especie de desdoblamiento de personalidad.,desdoblamiento
"David Kellergan no descansaba: rebosaba de ideas y proyectos, siempre apoyado por su mujer.",descansaba
"Tras el plato principal, los dos hombres salieron a fumar un cigarrillo y dar un paseo sobre el césped del Club de Campo.",fumar
—¡La policía! —se asustó Nola.,asustó
"Así que finalmente había decidido elegir a aquellos que con seguridad alimentarían a la ciudad con los rumores más alocados, gracias a los que pronto se diría que Tamara Quinn organizaba acontecimientos con clase muy selectivos desde que tenía a la estrella de la literatura americana como futuro yerno.",alimentarían
No se le debe importunar bajo ningún concepto.,importunar
Subíamos entonces por las rocas de Grand Beach y atravesábamos la ciudad aún dormida.,atravesábamos
"—Bueno, enséñale cualquier punto luminoso en el cielo y dale un nombre al azar.",enséñale
"—Porque hasta que se encontró su cuerpo en Goose Cove, era agua pasada.",agua
"—Harry… Sé que esto es atrevido, pero… ¿podría leerlo?",atrevido
A mamá Quinn se le atragantó el café:,atragantó
"Zi me cogen, Nola, no didé nada.",cogen
"Pero esa mañana, cuando llegó al barrio de Terrace Avenue, se detuvo para recuperar el aliento y caminó un momento entre las filas de casas, cubierto de sudor, sintiendo su propio latido en las sienes.",latido
Ahora tiene un garaje con su primo.,primo
"En aquel momento lo ignorábamos, pero todavía íbamos a vivir más sorpresas.",ignorábamos
"Como prueba de lo que me decía, sacó el libro conmemorativo del cuarenta aniversario del motel y confirmó sus palabras mostrándome las fotos de la época.",conmemorativo
Calló un instante y se puso a dar vueltas por la habitación como si necesitara expulsar su cólera.,expulsar
"El caso les pareció tan complejo que hasta solicitaron ayuda de un médium que se había demostrado eficaz en dos casos de asesinato en Oregón, pero esta vez no tuvo éxito.",solicitaron
—¿Quieres que hablemos de ello?,hablemos
Llevaban todas la firma L. C. Y las fechas no iban más allá de 1975.,fechas
"Desde su desaparición, había mantenido la habitación intacta.",intacta
Estalló en una carcajada de cinismo.,cinismo
—¿Papeles falsos?,Papeles
¿Apoderarse de su arma y abatirle?,Apoderarse
"Cuando ella pronunció esas palabras, se preguntó qué demonios estaba haciendo enamoriscándose de una adolescente.",pronunció
Decidí presentarme allí como si fuese a visitar a Harry improvisadamente.,improvisadamente
Decía que los periódicos pronto lo anunciarían en titulares: El gran escritor es un gran pervertido.,anunciarían
—¡Vaya a imprimirlo inmediatamente!,imprimirlo
"Ante él, la hoja que escondía era el primer capítulo de su novela.",escondía
Yo estaba petrificado.,petrificado
—Depende.,Depende
"Si está leyendo estas líneas, es que se está montando un buen lío alrededor de su libro y necesita usted respuestas.",montando
"Dos mil años antes que yo, el filósofo Séneca había experimentado ya esa dolorosa situación: huyas donde huyas, tus problemas se meten en tu maleta y te siguen a cualquier parte.",filósofo
"Al cruzarse con las patrullas que llegaban de frente, comprendió que el vehículo sospechoso había escapado.",escapado
"Diez mil personas gritando mi nombre, chicas desmayándose y otras lanzando las bragas.",desmayándose
"A veces se detenía, y se quedaba mirándola; ella simulaba no enterarse, pero sabía que la estaba devorando con los ojos.",mirándola
Investigo dos asesinatos.,Investigo
"Prepare un plan de registro del bosque, habrá que proseguir la búsqueda en cuanto amanezca.",Prepare
A unas decenas de metros hacia el interior encontró un jirón de tela roja.,jirón
"A pesar de mi estado, conservé mi honor aguantando hasta el final del tiempo reglamentario, cuestión de orgullo, esperando al gong final para derrumbarme sobre la lona, KO.",aguantando
"Sin darse cuenta, se habían acercado al lindero del bosque.",acercado
Él siguió hablando con voz alta e inteligible.,inteligible
"A pesar de la débil luz de los apliques, vio las marcas que había dejado en mis puños la repetición de golpes en los sacos de boxeo.",apliques
"Aturdido por lo que acababa de descubrir, me senté por fin en una boca de incendios y llamé a Roth para contarle lo que había pasado.",incendios
"—Ponte la azul, te sentará bien.",sentará
A la una de la tarde de ese mismo día debía celebrarse la audiencia convocada por la oficina del fiscal para valorar los resultados de los análisis grafológicos.,convocada
"Así que hay que sacar un libro sobre este asunto con mucha rapidez, antes de que nos atrape la ola de las elecciones presidenciales.",atrape
Salta por la ventana y se fuga.,Salta
"Capítulo 1, capítulo 2…",Capítulo
"Sargento P. Gahalowood: Jefe Dawn, ha llegado la hora de que nos explique qué pasó realmente el 30 de agosto de 1975…",explique
"Y como si eso no bastara, Donna empezó a preguntar con insistencia qué noticia tan importante era esa que debía anunciar.",bastara
"Nos sentamos en el viejo sofá del salón, que no era viejo pero que ha terminado siéndolo porque nunca he podido separarme de él, y tuvimos nuestra última conversación.",siéndolo
Pero Tamara había sabido prolongar el suspense siendo sabiamente evasiva: «Voy a anunciar una gran noticia».,evasiva
—Era usted el único que podía desenmascararme.,desenmascararme
"El primero era muy bueno, pero este… He oído que le dieron un millón de dólares por escribirlo…",escribirlo
—Sus informaciones son correctas —me dijo—.,informaciones
Siempre pedía disculpas por las molestias y ofrecía café y pastas a los agentes que se pasaban por allí.,molestias
No quiero escuchar sus sórdidas sugerencias.,sugerencias
"Para excitar a la audiencia, dejaba incluso sobreentender, apoyándose en detalles imaginarios, que la mitad de la ciudad de Aurora había tenido relaciones íntimas con Nola, por lo que tuve que hablar con él para llamarle la atención.",excitar
"No pedía gran cosa: ella no quería nada más que un hombre bueno, que la amase y la protegiese, que le regalase flores de vez en cuando y la llevara a cenar.",amase
—Te vi en la televisión anoche —me dijo—.,anoche
Descubriremos la verdad.,Descubriremos
"—Señor Stern, quiero disculparme otra vez por venir a molestarle a estas horas.",disculparme
"Tras registrar la casa en vano, empezó a preguntarse si alguien habría entrado allí en busca de pruebas comprometedoras.",comprometedoras
"Llegará lejos, lo sé».",Llegará
"Antes de eso, conocía al Gran Escritor Harry Quebert de nombre, como todo el mundo: en Burrows conocí a Harry Tal Cual, el que iba a convertirse en uno de mis amigos más cercanos a pesar de nuestra diferencia de edad, y el que me enseñaría a convertirme en escritor.",enseñaría
"Él dice que ese manuscrito había desaparecido, y que es posible que Nola lo cogiese.",cogiese
"De pronto, oímos pasos a nuestra espalda: era Jenny.",oímos
Todo iba a arder.,arder
Empezó a desgranar una explicación:,desgranar
—Correcto.,Correcto
"Viniendo aquí, Marcus, usted sabía que sería ese personaje invencible que ha creado usted de arriba abajo, ese personaje que en realidad no tiene armas para enfrentarse a la vida real.",Viniendo
"Vecinos, amigos desde hacía veinticinco años, se espiaban ahora mutuamente.",Vecinos
Se había dejado invadir por sus emociones: se daba cuenta de la amplitud de sentimientos que experimentaba por ella.,invadir
Necesitamos personalidades que hagan avanzar esta ciudad.,personalidades
—Bue…,Bue
"Desde las revelaciones de Sylla Mitchell, Gahalowood había empezado a ver más claro en la investigación; los elementos convergían cada vez más sobre Luther, y tenía muchas esperanzas en los resultados del análisis grafológico del cuaderno para confirmar su intuición.",convergían
No deje nunca que se lo impida el cansancio ni el miedo.,impida
"En su interior, la única persona que había era una mujer que rondaba los cincuenta años y tenía el pelo grisáceo y corto.",grisáceo
Piensas demasiado en los libros y no lo suficiente en el matrimonio…,Piensas
Una importante victoria de América sobre el enemigo soviético.,soviético
"Pero usted, usted me odia, ¿verdad?",odia
"Sobre todo, no se pare a hablar con ellos.",pare
Decidí seguirla.,seguirla
"¿Stern, al ver que Pratt estaba a punto de ceder y desvelar toda la verdad?",ceder
Debía actuar con rapidez: no quería arriesgarse a que ella regresase más tarde y le sorprendiese fugándose.,regresase
Se rieron.,rieron
"Incluso me pareció, durante algunos años, que el recuerdo del incendio se disipaba y llegué a pensar que esos episodios desaparecerían por completo.",disipaba
"Finalmente, me decidí a abordarle a la salida de una de sus clases.",abordarle
"Cuando atravesó la linde del bosque, ella ya había rociado el Range Rover y la vio verter gasolina bajo el porche.",rociado
"—Entonces, conténtate con escribir que Nola era una hija infeliz y maltratada.",conténtate
"No dejaba de salir en la televisión, en la radio y en los periódicos.",periódicos
"Yo no era más que fachada, simple contrachapado: iba a quedar en ridículo, y en mi propio campo.",contrachapado
Así que no venga aquí con recuerdos que me desgarran el corazón.,desgarran
—¿Enfadada con quién?,Enfadada
"Ese jueves todo el mundo en Aurora había sido alertado por las sirenas de los coches patrulla que habían llegado de todo el condado, desde los patrulleros de la autopista hasta los vehículos camuflados de la criminal, incluso una furgoneta de la policía científica.",patrulleros
"Esperó, fielmente, a que volviese.",fielmente
Salvo si se esfuerza usted en dárselo y lucha cada día que Dios nos da para llegar a ese fin.,dárselo
—Informe a Richardson de la situación.,Informe
—Porque… porque no quiero que acabe sola.,acabe
Tenía ganas de acariciarle un poco el pelo…,acariciarle
—¡Mierda! ¡Entonces hay que mover el culo!,mover
"Nos miramos fijamente, frente a frente, en posición de defensa, como dos guerreros.",guerreros
Lo peor era la desconfianza que demostraban los propios habitantes entre ellos.,demostraban
El comunicado de prensa que ofrecían dos veces al día el jefe Pratt y el capitán Rodik delante de la entrada de la comisaría se parecía cada vez más a una confesión de impotencia.,impotencia
Abrió los ojos como platos y vi sus órbitas brillar en la noche como dos lunas.,órbitas
