word,count,example_sentence,translation
es,949,"A mis padres Título original: La Vérité sur l’Affaire Harry Quebert Joël Dicker, 2012 Traducción: Juan Carlos Durán Romero Diseño de portada: El censor Editor digital: Titivillus ePub base r2.1 Notas [1] El término escritor fantasma, tomado del inglés ghost writer, designa a lo que en literatura se denomina negro, {{c1::es}} decir, un escritor que escribe en nombre de otro.",
al,897,"En 2012 publicó La verdad sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer {{c1::al}} mejor libro traducido.",
qué,765,Todo el mundo quería saber {{c1::qué}} había pasado en Aurora en 1975.,
usted,740,¿Cree {{c1::usted}} que algún día lo conseguiré?,
mi,734,"En el café al que solía ir en el West Village, había clientes que no dudaban en sentarse a {{c1::mi}} mesa y empezar a hablar: «Su libro me tiene atrapado, señor Goldman, es imposible dejarlo.",
Y,724,¡{{c1::Y}} ya está forrado!».,
más,615,Mi libro apasionaba a la flor y nata de Nueva York; tras dos semanas en las librerías ya prometía llegar a ser el {{c1::más}} vendido a lo largo y ancho del continente.,
era,589,"El primero {{c1::era}} muy bueno, pero este… He oído que le dieron un millón de dólares por escribirlo… ¿Qué edad tiene?",
casa,586,"Abandoné la {{c1::casa}} de mis padres en Montclair, New Jersey, para mudarme a un piso señorial en el Village, cambié mi Ford de tercera mano por un flamante Range Rover con los cristales tintados, comencé a frecuentar restaurantes exclusivos y contraté los servicios de un agente literario que se encargaba de mi agenda y que venía a ver el béisbol en la pantalla gigante de mi nuevo salón.",
todo,581,Está el tipo ese del que {{c1::todo}} el mundo habla… Su novela va a ser el gran éxito de Navidad.,
Pero,571,"{{c1::Pero}} fueron pasando los días, las semanas y los meses y la inspiración nunca regresó.",
estaba,508,"A principios de 2008, aproximadamente año y medio después de haberme convertido, gracias a mi primera novela, en la nueva gran promesa de la literatura norteamericana, {{c1::estaba}} inmerso en una terrible crisis de la página en blanco, síndrome que al parecer no es extraño entre los escritores que han conocido un éxito inmediato y clamoroso.",
si,486,Como {{c1::si}} mi cerebro se hubiese ido quedando sin fuerza poco a poco.,
Me,476,"{{c1::Me}} llamo Deborah Cooper, vivo en Side Creek Lane.",
libro,468,"En 2012 publicó La verdad sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor {{c1::libro}} traducido.",
La,453,"En 2012 publicó {{c1::La}} verdad sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
como,447,"A los diecinueve años decidió probar suerte {{c1::como}} escritor de ficción con el cuento corto El Tigre, el cual sería reconocido con el Premio internacional para jóvenes autores francoparlantes.",
En,441,"{{c1::En}} 2009 terminó su primer novela, Los últimos días de nuestros padres.",
ese,440,"Con la invención del término ghost writer, los anglosajones han sabido reflejar la crueldad que supone dedicarse a {{c1::ese}} trabajo.",
El,434,"A los diecinueve años decidió probar suerte como escritor de ficción con el cuento corto {{c1::El}} Tigre, el cual sería reconocido con el Premio internacional para jóvenes autores francoparlantes.",
pero,429,"El primero era muy bueno, {{c1::pero}} este… He oído que le dieron un millón de dólares por escribirlo… ¿Qué edad tiene?",
ha,415,"Traducida con gran éxito a treinta y tres idiomas, se {{c1::ha}} convertido en un fenómeno literario global.",
Qué,407,"En 2012 publicó La verdad sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio {{c1::Qué}} Leer al mejor libro traducido.",
Es,401,"Ya no podía pasear tranquilo por las calles de Nueva York, no podía hacer jogging por Central Park sin que me reconocieran y exclamaran: «¡{{c1::Es}} Goldman, el escritor!».",
él,389,Había un hombre tras ella… Creo que intentaba escapar de {{c1::él}}.,
nada,387,"Pero, para mi gran pesar, no producía {{c1::nada}} válido.",
dijo,380,Tiene mala pinta —me {{c1::dijo}} en el coche mientras me llevaba a Manhattan—.,
Por,379,"{{c1::Por}} las mañanas pasaba por el despacho para hojear los artículos que me dedicaban y leer las decenas de cartas de admiradores que recibía a diario, y que Denise guardaba después en enormes archivadores.",
Se,376,{{c1::Se}} han metido en el bosque.,
sus,370,"Voy a ir al deli de la esquina a comprarle unos sándwiches de roast-beef, {{c1::sus}} preferidos.",
sobre,368,"En 2012 publicó La verdad {{c1::sobre}} el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
está,338,¡Y ya {{c1::está}} forrado!».,
cuando,338,"El caso que sacudía América, y del que había sacado lo esencial de mi narración, había estallado unos meses antes, al principio del verano, {{c1::cuando}} se encontraron los restos de una joven desaparecida treinta y tres años antes.",
Marcus,337,"En 2008, {{c1::Marcus}} Goldman, un joven escritor, visita a su mentor −Harry Quebert, autor de una aclamada novela−, y descubre que éste tuvo una relación secreta con Nola Kellergan.",
esa,329,"Estaba en la ventana, mirando hacia fuera, y de pronto he visto a {{c1::esa}} chica corriendo entre los árboles.",
Aurora,328,"Intentémoslo: una gran novela policiaca y romántica a tres tiempos −1975, 1998 y 2008− acerca del asesinato de una joven de quince años en la pequeña ciudad de {{c1::Aurora}}, en New Hampshire.",
día,328,"Joël Dicker La verdad sobre el caso Harry Quebert ePub r2.4 Titivillus 11.05.2020 El {{c1::día}} de la desaparición (Sábado 30 de agosto de 1975) —Central de policía, ¿es una emergencia?",
ella,317,Había un hombre tras {{c1::ella}}… Creo que intentaba escapar de él.,
sin,312,"Ya no podía pasear tranquilo por las calles de Nueva York, no podía hacer jogging por Central Park {{c1::sin}} que me reconocieran y exclamaran: «¡Es Goldman, el escritor!».",
después,307,"Un año {{c1::después}}, regresaría a Ginebra para estudiar Derecho en la Université de Genève, graduándose en 2010.",
muy,307,"El primero era {{c1::muy}} bueno, pero este… He oído que le dieron un millón de dólares por escribirlo… ¿Qué edad tiene?",
años,298,A los 19 {{c1::años}} tomó clases de actuación en la escuela de Drama en el Cours Florent en París.,
hasta,293,"Intenté después cambiar de método: obligué a Denise a quedarse trabajando {{c1::hasta}} altas horas de la noche para que tomara al dictado lo que yo pensaba que eran grandes frases, palabras oportunas y excepcionales comienzos de novela.",
Kellergan,284, Quién mató a Nola {{c1::Kellergan}} es la gran incógnita a desvelar en este thriller incomparable cuya experiencia de lectura escapa a cualquier tentativa de descripción.,
eso,280,¿Harry Quebert hizo {{c1::eso}}?».,
Jenny,280,"Las dos personas con las que mejor me llevaba eran {{c1::Jenny}} Dawn, la dueña del Clark’s, y Erne Pinkas, un voluntario de la biblioteca municipal muy apegado a Harry que a veces venía a Goose Cove al acabar la jornada para tomar un vaso de whisky escocés.",
Quebert,279,"En 2012 publicó La verdad sobre el caso Harry {{c1::Quebert}}, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
policía,276,"Joël Dicker La verdad sobre el caso Harry Quebert ePub r2.4 Titivillus 11.05.2020 El día de la desaparición (Sábado 30 de agosto de 1975) —Central de {{c1::policía}}, ¿es una emergencia?",
Luther,276,"Stern enviaba a su hombre de confianza a buscarla, un tipo raro, {{c1::Luther}} Caleb se llamaba.",
Gahalowood,274,Sargento Perry {{c1::Gahalowood}}.,
yo,272,"Intenté después cambiar de método: obligué a Denise a quedarse trabajando hasta altas horas de la noche para que tomara al dictado lo que {{c1::yo}} pensaba que eran grandes frases, palabras oportunas y excepcionales comienzos de novela.",
tenía,271,"Yo {{c1::tenía}} sólo treinta años y con esa novela, la segunda de mi carrera, me había convertido en el escritor más de moda del país.",
A,269,{{c1::A}} los 19 años tomó clases de actuación en la escuela de Drama en el Cours Florent en París.,
ya,266,Pues… {{c1::ya}} no los veo.,
Stern,263,"Era Elijah {{c1::Stern}}, probablemente uno de los hombres más ricos de New Hampshire.",
Sí,259,{{c1::Sí}}.,
te,258,"Dos mil años antes que yo, el filósofo Séneca había experimentado ya esa dolorosa situación: huyas donde huyas, tus problemas se meten en tu maleta y {{c1::te}} siguen a cualquier parte.",
bien,255,"Pero esa tentativa se saldó con un fracaso lamentable, en el que mi madre jugó un papel estelar, especialmente por el hecho de haberse pasado esos dos días sentada a mi lado, escrutando la pantalla de mi ordenador portátil y repitiéndome: «Está muy {{c1::bien}}, Markie».",
escritor,252,"A los diecinueve años decidió probar suerte como {{c1::escritor}} de ficción con el cuento corto El Tigre, el cual sería reconocido con el Premio internacional para jóvenes autores francoparlantes.",
Lo,251,¡{{c1::Lo}} conseguiré!,
Le,250,¡{{c1::Le}} ha robado todo su público!,
he,247,"Estaba en la ventana, mirando hacia fuera, y de pronto {{c1::he}} visto a esa chica corriendo entre los árboles.",
coche,245,"Durante ese mismo año, solamente en Estados Unidos, habían nacido un millón de niños, habían muerto un millón de personas, más de diez mil habían recibido un disparo, medio millón habían caído en la droga, un millón se habían hecho ricas, diecisiete millones habían cambiado de teléfono móvil, cincuenta mil habían fallecido en accidente de {{c1::coche}} y, en las mismas circunstancias, dos millones habían sido heridas de mayor o menor gravedad.",
fue,239,"En 2012 publicó La verdad sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, {{c1::fue}} elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
aquí,239,"¡No estoy {{c1::aquí}} para jugar a las comiditas, tengo que escribir una novela!",
vida,233,"Un libro, uno solo, y ya veía cómo se me abrían las puertas de una nueva {{c1::vida}}, la de las jóvenes estrellas millonarias.",
vez,225,Las cartas de los admiradores se hicieron cada {{c1::vez}} más escasas y en la calle me abordaban menos.,
dos,223, [3] Field goal: jugada de fútbol americano que consiste en intentar marcar pateando el balón para pasarlo entre las {{c1::dos}} barras verticales de la portería.,
ser,219,Mi libro apasionaba a la flor y nata de Nueva York; tras dos semanas en las librerías ya prometía llegar a {{c1::ser}} el más vendido a lo largo y ancho del continente.,
algo,209,"¿Has estudiado {{c1::algo}} de economía, Marc?",
tiempo,207,"Y, sin embargo, no habían pasado más de doce cortos meses, un lapso de {{c1::tiempo}} ridículamente breve a mis ojos pero que, en la escala de la Humanidad, equivalía a una eternidad.",
tarde,207,"De eso se encargó Douglas, dos semanas más {{c1::tarde}}, durante la enésima conversación en mi casa.",
tan,203,"Fue {{c1::tan}} grande que nunca más pudo escribir otra cosa y, arruinado e infeliz, sobrevivía tocando al piano los éxitos de otros para la clientela de los hoteles.",
antes,197,"El caso que sacudía América, y del que había sacado lo esencial de mi narración, había estallado unos meses {{c1::antes}}, al principio del verano, cuando se encontraron los restos de una joven desaparecida treinta y tres años antes.",
nos,197,¡Usted {{c1::nos}} hace perder dinero!,
verdad,196,"En 2012 publicó La {{c1::verdad}} sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
ni,196,"Como no tenía otra cosa que hacer, {{c1::ni}} dictados que tomar, ni correo que clasificar, ni café que preparar, daba vueltas y vueltas por el pasillo.",
preguntó,196,me {{c1::preguntó}}.,
nunca,195,"Pero fueron pasando los días, las semanas y los meses y la inspiración {{c1::nunca}} regresó.",
Pratt,195,"Inmediatamente pensé que debía tomarme el asunto en serio y avisé al jefe {{c1::Pratt}}, por aquel entonces jefe de la policía de Aurora.",
sé,191,¡No lo {{c1::sé}}!,
Goldman,190,"En 2008, Marcus {{c1::Goldman}}, un joven escritor, visita a su mentor −Harry Quebert, autor de una aclamada novela−, y descubre que éste tuvo una relación secreta con Nola Kellergan.",
desde,190,"En el avión que me traía {{c1::desde}} Miami leí un artículo sobre un joven autor que acababa de publicar una novela aclamada por la crítica y, a mi llegada al aeropuerto de LaGuardia, no hice más que ver su rostro en los grandes carteles de la sala de recogida de equipajes.",
hacer,189,"Ya no podía pasear tranquilo por las calles de Nueva York, no podía {{c1::hacer}} jogging por Central Park sin que me reconocieran y exclamaran: «¡Es Goldman, el escritor!».",
Era,189,"{{c1::Era}} un escritor famoso, tenía la impresión de dedicarme a la profesión más bella del mundo.",
decir,187,"A mis padres Título original: La Vérité sur l’Affaire Harry Quebert Joël Dicker, 2012 Traducción: Juan Carlos Durán Romero Diseño de portada: El censor Editor digital: Titivillus ePub base r2.1 Notas [1] El término escritor fantasma, tomado del inglés ghost writer, designa a lo que en literatura se denomina negro, es {{c1::decir}}, un escritor que escribe en nombre de otro.",
o,185,"No quise prestar atención a la aparición de los primeros síntomas: pensé que la inspiración volvería al día siguiente {{c1::o}} al otro, o quizá el siguiente.",
momento,184,"Derecho incluso a salir con Lydia Gloor, la protagonista de la serie de televisión del {{c1::momento}} y a la que todos se rifaban.",
noche,184,"Intenté después cambiar de método: obligué a Denise a quedarse trabajando hasta altas horas de la {{c1::noche}} para que tomara al dictado lo que yo pensaba que eran grandes frases, palabras oportunas y excepcionales comienzos de novela.",
Cove,183,"Vivía en una imponente casa de piedra y pino macizo situada en las afueras, junto a la carretera federal 1 en dirección a Maine, y construida al borde de un pequeño cabo que figuraba en las cartas con el nombre de Goose {{c1::Cove}}.",
allí,182,"Así que {{c1::allí}} estaba yo, el que un año antes era considerado la estrella naciente de la literatura de este país, convertido en el gran fracaso, en el mayor gusano de la edición norteamericana.",
Los,178,"En 2009 terminó su primer novela, {{c1::Los}} últimos días de nuestros padres.",
Goose,178,"Vivía en una imponente casa de piedra y pino macizo situada en las afueras, junto a la carretera federal 1 en dirección a Maine, y construida al borde de un pequeño cabo que figuraba en las cartas con el nombre de {{c1::Goose}} Cove.",
poco,177,Como si mi cerebro se hubiese ido quedando sin fuerza {{c1::poco}} a poco.,
mujer,177,¿Intentas decirme que te molesta la presencia de la {{c1::mujer}} que te dio la vida?,
madre,174,"Pero esa tentativa se saldó con un fracaso lamentable, en el que mi {{c1::madre}} jugó un papel estelar, especialmente por el hecho de haberse pasado esos dos días sentada a mi lado, escrutando la pantalla de mi ordenador portátil y repitiéndome: «Está muy bien, Markie».",
Travis,174,"Poco después {{c1::Travis}} Dawn, el jefe de policía de Aurora y además el marido de Jenny, se instaló a su vez en la mesa.",
hecho,173,Corría el otoño de 2006 y en pocas semanas mi nombre se había {{c1::hecho}} famoso.,
s,173,"La calle principal tiene un cine —cuya programación sufre un continuo retraso respecto a la del resto del país—, algunas tiendas, una oficina de correos, una comisaría y un puñado de restaurantes, entre ellos el Clark’{{c1::s}}, el histórico diner de la ciudad.",
Un,172,"{{c1::Un}} año después, regresaría a Ginebra para estudiar Derecho en la Université de Genève, graduándose en 2010.",
porque,171,"Al rato, contento {{c1::porque}} ya había trabajado suficiente, salía a deambular por las calles de Manhattan, donde los viandantes murmuraban a mi paso.",
días,170,"En 2009 terminó su primer novela, Los últimos {{c1::días}} de nuestros padres.",
quería,168,Todo el mundo {{c1::quería}} saber qué había pasado en Aurora en 1975.,
gran,167,"Traducida con {{c1::gran}} éxito a treinta y tres idiomas, se ha convertido en un fenómeno literario global.",
escribir,167,Marcus comienza a investigar y a {{c1::escribir}} un libro sobre el caso.,
siempre,167,"Y, seguro de que mi éxito iba a durar para {{c1::siempre}}, no me preocupaban las primeras advertencias de mi agente y de mi editor, que me instaban a que me pusiera a trabajar y empezara de inmediato a escribir mi segundo libro.",
De,166,"{{c1::De}} todas formas, no era una cosa seria, mamá.",
entonces,165,Pensé {{c1::entonces}} en otras ideas y desarrollé otras tramas.,
nadie,163,"La enfermedad me había fulminado y {{c1::nadie}} podía ayudarme: aquellos a quienes se lo confiaba me decían que no pasaba nada, que seguramente era muy común y que si no escribía mi libro hoy, lo escribiría mañana.",
ver,161,Creo que acabo de {{c1::ver}} a una joven perseguida por un hombre en el bosque.,
puerta,160,"Hasta el portero de mi edificio, al que había visto leyéndolo entre apertura y apertura de {{c1::puerta}}, me tuvo retenido un rato en el ascensor, al terminarlo, para confesarme su desazón: «Entonces ¿eso fue lo que le ocurrió a Nola Kellergan?",
Cómo,160,¿{{c1::Cómo}} tiene pensado empezar el suyo?,
mundo,158,Prólogo OCTUBRE DE 2008 (33 años después de la desaparición) Todo el {{c1::mundo}} hablaba del libro.,
mí,158,La enfermedad no se manifestó de golpe; se fue instalando lentamente dentro de {{c1::mí}}.,
Ya,157,"{{c1::Ya}} no podía pasear tranquilo por las calles de Nueva York, no podía hacer jogging por Central Park sin que me reconocieran y exclamaran: «¡Es Goldman, el escritor!».",
sido,157,"Durante ese mismo año, solamente en Estados Unidos, habían nacido un millón de niños, habían muerto un millón de personas, más de diez mil habían recibido un disparo, medio millón habían caído en la droga, un millón se habían hecho ricas, diecisiete millones habían cambiado de teléfono móvil, cincuenta mil habían fallecido en accidente de coche y, en las mismas circunstancias, dos millones habían {{c1::sido}} heridas de mayor o menor gravedad.",
Quinn,157,"¿Sabes?, a propósito de Harry… Me crucé con la señora {{c1::Quinn}} ayer, en la calle… —¿La señora Quinn?",
ir,155,"En el café al que solía {{c1::ir}} en el West Village, había clientes que no dudaban en sentarse a mi mesa y empezar a hablar: «Su libro me tiene atrapado, señor Goldman, es imposible dejarlo.",
todos,155,"Derecho incluso a salir con Lydia Gloor, la protagonista de la serie de televisión del momento y a la que {{c1::todos}} se rifaban.",
durante,154,Algunos incluso me seguían {{c1::durante}} un rato para preguntarme aquello que les atormentaba: «¿Es cierto lo que cuenta en la novela?,
toda,152,"Apoyado en la barra, me contó que sólo había escrito una canción en {{c1::toda}} su vida, pero que esa canción había tenido un éxito tremebundo.",
Así,151,"{{c1::Así}} pasé ese mes en Florida, en soledad, encerrado en una suite junto a mis demonios, sintiéndome miserable y abatido.",
podía,150,"Ya no {{c1::podía}} pasear tranquilo por las calles de Nueva York, no podía hacer jogging por Central Park sin que me reconocieran y exclamaran: «¡Es Goldman, el escritor!».",
habían,149,"Los políticos del momento, la estrella del último reality o el grupo de rock de moda me {{c1::habían}} robado mi parte de atención.",
mucho,149,Había nevado {{c1::mucho}} en invierno y los paisajes desfilaban ante mí cubiertos de blanco.,
tiene,148,"En el café al que solía ir en el West Village, había clientes que no dudaban en sentarse a mi mesa y empezar a hablar: «Su libro me {{c1::tiene}} atrapado, señor Goldman, es imposible dejarlo.",
mismo,148,"Durante ese {{c1::mismo}} año, solamente en Estados Unidos, habían nacido un millón de niños, habían muerto un millón de personas, más de diez mil habían recibido un disparo, medio millón habían caído en la droga, un millón se habían hecho ricas, diecisiete millones habían cambiado de teléfono móvil, cincuenta mil habían fallecido en accidente de coche y, en las mismas circunstancias, dos millones habían sido heridas de mayor o menor gravedad.",
hombre,146,Creo que acabo de ver a una joven perseguida por un {{c1::hombre}} en el bosque.,
señor,144,"En el café al que solía ir en el West Village, había clientes que no dudaban en sentarse a mi mesa y empezar a hablar: «Su libro me tiene atrapado, {{c1::señor}} Goldman, es imposible dejarlo.",
Yo,144,"{{c1::Yo}} tenía sólo treinta años y con esa novela, la segunda de mi carrera, me había convertido en el escritor más de moda del país.",
hay,144,¡No {{c1::hay}} comida que valga!,
jefe,144,"Poco después Travis Dawn, el {{c1::jefe}} de policía de Aurora y además el marido de Jenny, se instaló a su vez en la mesa.",
caso,140,"En 2012 publicó La verdad sobre el {{c1::caso}} Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
quiere,139,"Los libros se han convertido en un producto intercambiable: la gente {{c1::quiere}} un libro que les guste, les relaje, les divierta.",
donde,138,"Pasó su infancia en Ginebra, {{c1::donde}} asistiría a la Collège Madame de Staël.",
amor,138,"Si alguien en Aurora se entera de que tuve una historia de {{c1::amor}} con Nola Kellergan, podría ser mi ruina… —Puede confiar en mí, Harry… Eso fue todo lo que supe de Nola Kellergan.",
cómo,137,"Un libro, uno solo, y ya veía {{c1::cómo}} se me abrían las puertas de una nueva vida, la de las jóvenes estrellas millonarias.",
Tamara,137,{{c1::Tamara}} Quinn Fue el peso de la botella de sirope de arce el que desequilibró la bandeja.,
Al,135,"{{c1::Al}} rato, contento porque ya había trabajado suficiente, salía a deambular por las calles de Manhattan, donde los viandantes murmuraban a mi paso.",
hija,135,"Mira, ayer mismo me crucé con la señora Emerson en el supermercado y, qué casualidad, su {{c1::hija}} también está soltera.",
este,134, Quién mató a Nola Kellergan es la gran incógnita a desvelar en {{c1::este}} thriller incomparable cuya experiencia de lectura escapa a cualquier tentativa de descripción.,
Si,134,"{{c1::Si}} a los lectores no les gusta, no leerán el resto del libro.",
mañana,134,Empezaba a escribir a las seis de la {{c1::mañana}} y nunca lo dejaba antes de las nueve o las diez de la noche.,
Una,134,{{c1::Una}} buena mujer es una mujer puntual.,
mis,133,"A {{c1::mis}} padres Título original: La Vérité sur l’Affaire Harry Quebert Joël Dicker, 2012 Traducción: Juan Carlos Durán Romero Diseño de portada: El censor Editor digital: Titivillus ePub base r2.1 Notas [1] El término escritor fantasma, tomado del inglés ghost writer, designa a lo que en literatura se denomina negro, es decir, un escritor que escribe en nombre de otro.",
pasado,133,¿Qué ha {{c1::pasado}} exactamente?,
cuenta,132,Algunos incluso me seguían durante un rato para preguntarme aquello que les atormentaba: «¿Es cierto lo que {{c1::cuenta}} en la novela?,
dije,132,"Claro, que yo no quise pasar por una imbécil: {{c1::dije}} que era una mujer encantadora y que venía a menudo a cenar.",
entre,128, [3] Field goal: jugada de fútbol americano que consiste en intentar marcar pateando el balón para pasarlo {{c1::entre}} las dos barras verticales de la portería.,
Entonces,128,"Hasta el portero de mi edificio, al que había visto leyéndolo entre apertura y apertura de puerta, me tuvo retenido un rato en el ascensor, al terminarlo, para confesarme su desazón: «{{c1::Entonces}} ¿eso fue lo que le ocurrió a Nola Kellergan?",
Clark,128,"La calle principal tiene un cine —cuya programación sufre un continuo retraso respecto a la del resto del país—, algunas tiendas, una oficina de correos, una comisaría y un puñado de restaurantes, entre ellos el {{c1::Clark}}’s, el histórico diner de la ciudad.",
todas,127,"Estaba en {{c1::todas}} partes: en la televisión, en los periódicos, en las portadas de las revistas.",
uno,127,"Un libro, {{c1::uno}} solo, y ya veía cómo se me abrían las puertas de una nueva vida, la de las jóvenes estrellas millonarias.",
sabía,126,Precisamente lo peor es que yo {{c1::sabía}} que era verdad.,
hace,125,"Marc, no lo entiendes: eso podríamos haberlo hecho {{c1::hace}} unos meses.",
Después,125,{{c1::Después}} seguiría publicando con un ritmo constante y aseguraría una crónica mensual muy popular en el Boston Globe.,
historia,124,"Es una {{c1::historia}} sórdida, Marcus.",
tengo,120,Yo le respondía a gritos: —¡No {{c1::tengo}} hambre!,
mal,119,"Porque yo me había dado cuenta por fin de la gravedad del {{c1::mal}} que me roía: escribir un libro partiendo de la nada me había parecido muy fácil pero, ahora que estaba en la cima, ahora que debía asumir mi talento y repetir el agotador camino hacia el éxito que es la escritura de una buena novela, ya no me sentía capaz.",
